KEY CODE TRANSLATION TABLE

Key code    = IBM System/2 key numbers for 101- and 102 key keyboards
              The SMC translates PS/2 Set 2 scan codes to IBM key
              numbers which are read by the Kernal over I2C

PS/2 Set 1  = Used in Windows klc keyboard layout files, which are
              used in keymap/klc_to_asm.py to build layout
              tables used by the Kernal.

PS/2 Set 2  = Default type of scan code sent by a PS/2 keyboard,
              and here read by the SMC firmware

USB HID     = Key codes used by a USB keyboard. Currently not used by the X16

+----------+-------------------+-------------------------+----------------------------------+
| Key code | PS/2 Set 1        | PS/2 Set 2              | USB HID  | Base Case (US layout) |
| 37       | 35                | 4A                      | 07 38    | /                     | 
| 39       | 36                | 59                      | 07 E5    | Right Shift           | 
| 3A       | 1D                | 14                      | 07 E0    | Left Ctrl             | 
| 3B       | E0 5B             | E0 1F                   | 07 E3    | Left GUI
| 3C       | 38                | 11                      | 07 E2    | Left Alt              | 
| 3D       | 39                | 29                      | 07 2C    | Spacebar              | 
| 3E       | E0 38             | E0 11                   | 07 E6    | Right Alt             | 
| 3F       | E0 5C             | E0 27                   | 07 E7    | Right GUI
| 40       | E0 1D             | E0 14                   | 07 E4    | Right Ctrl            | 
| 4B       | E0 52             | E0 70                   | 07 49    | Insert                | 
| 4C       | E0 4B             | E0 71                   | 07 4C    | Delete                | 
| 4F       | E0 4B             | E0 6B                   | 07 50    | Left Arrow            | 
| 50       | E0 47             | E0 6C                   | 07 4A    | Home                  | 
| 51       | E0 4F             | E0 69                   | 07 4D    | End                   | 
| 53       | E0 48             | E0 75                   | 07 52    | Up Arrow              | 
| 54       | E0 50             | E0 72                   | 07 51    | Down Arrow            | 
| 55       | E0 49             | E0 7D                   | 07 4B    | Page Up               | 
| 56       | E0 51             | E0 7A                   | 07 4E    | Page Down             | 
| 59       | E0 4D             | E0 74                   | 07 4F    | Right Arrow           | 
| 5A       | 45                | 77                      | 07 53    | Num Lock              | 
| 5B       | 47                | 6C                      | 07 5F    | Keypad 7              | 
| 5C       | 4B                | 6B                      | 07 5C    | Keypad 4              | 
| 5D       | 4F                | 69                      | 07 59    | Keypad 1              | 
| 5F       | E0 35             | E0 4A                   | 07 54    | Keypad /              | 
| 60       | 48                | 75                      | 07 60    | Keypad 8              | 
| 61       | 4C                | 73                      | 07 5D    | Keypad 5              | 
| 62       | 50                | 72                      | 07 5A    | Keypad 2              | 
| 63       | 52                | 70                      | 07 62    | Keypad 0              | 
| 64       | 37                | 7C                      | 07 55    | Keypad *              | 
| 65       | 49                | 7D                      | 07 61    | Keypad 9              | 
| 66       | 4D                | 74                      | 07 5E    | Keypad 6              | 
| 67       | 51                | 7A                      | 07 5B    | Keypad 3              | 
| 68       | 53                | 71                      | 07 63    | Keypad .              | 
| 69       | 4A                | 7B                      | 07 56    | Keypad -              | 
| 6A       | 4E                | 79                      | 07 57    | Keypad +              | 
| 6C       | E0 1C             | E0 5A                   | 07 58    | Keypad Enter          | 
| 6E       | 01                | 76                      | 07 29    | Esc                   | 
| 70       | 3B                | 05                      | 07 3A    | F1                    | 
| 71       | 3C                | 06                      | 07 3B    | F2                    | 
| 72       | 3D                | 04                      | 07 3C    | F3                    | 
| 73       | 3E                | 0C                      | 07 3D    | F4                    | 
| 74       | 3F                | 03                      | 07 3E    | F5                    | 
| 75       | 40                | 0B                      | 07 3F    | F6                    | 
| 76       | 41                | 83                      | 07 40    | F7                    | 
| 77       | 42                | 0A                      | 07 41    | F8                    | 
| 78       | 43                | 01                      | 07 42    | F9                    | 
| 79       | 44                | 09                      | 07 43    | F10                   | 
| 7A       | 57                | 78                      | 07 44    | F11                   | 
| 7B       | 58                | 07                      | 07 45    | F12                   | 
| 7C       | E0 2A E0 37       | E0 12 E0 7C             | 07 46    | Print Screen          | 
| 7D       | 46                | 7E                      | 07 47    | Scroll Lock           | 
| 7E       | E1 1D 45 E1 9D C5 | E1 14 77 E1 F0 14 F0 77 | 07 48    | Pause Break           | 
+----------+-------------------+-------------------------+----------+-----------------------+
